"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 19:56:47 CST 2022","Thu Nov 10 19:56:47 CST 2022","211","testcase_api","test_027_emerg_weather_warn_list","TestEmergWeatherWarnList","","","指挥中心--预警提醒信息",""
"passed","Thu Nov 10 19:57:19 CST 2022","Thu Nov 10 19:57:20 CST 2022","248","testcase_api","test_075_mib_dev_stat","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:53 CST 2022","Thu Nov 10 19:56:53 CST 2022","196","testcase_api","test_037_moat_user","TestMoatOrgFullTree","","","组织管理--部门与成员--编辑成员--该成员信息",""
"passed","Thu Nov 10 19:57:16 CST 2022","Thu Nov 10 19:57:16 CST 2022","221","testcase_api","test_067_iot_zengshi_brake_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:53:44 CST 2022","Thu Nov 10 19:53:45 CST 2022","972","testcase_api","test_001_boss_ticket_top_count2","TestTopCount2","","","指挥中心顶部看板区县",""
"passed","Thu Nov 10 19:57:18 CST 2022","Thu Nov 10 19:57:18 CST 2022","465","testcase_api","test_073_iot_alert_belt_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:12 CST 2022","Thu Nov 10 19:56:16 CST 2022","3948","testcase_api","test_011_boss_point_mine","TestBossPointMine","","","驾驶舱矿区--基础信息(马真良)",""
"passed","Thu Nov 10 19:57:00 CST 2022","Thu Nov 10 19:57:00 CST 2022","204","testcase_api","test_045_boss_ticket","TestMoatOrgFullTree","","","矿山数据统计--生产数据--详情",""
"passed","Thu Nov 10 19:56:10 CST 2022","Thu Nov 10 19:56:10 CST 2022","250","testcase_api","test_010_emerg_dispatch_list","TestEmergDispatchList","","","指挥中心应急事件上报-市级",""
"passed","Thu Nov 10 19:56:21 CST 2022","Thu Nov 10 19:56:21 CST 2022","348","testcase_api","test_015_beacon_alert_count_by_type","TestBeaconAlertCountByType","","","指挥中心--某个具体的矿区告警分类",""
"passed","Thu Nov 10 19:56:04 CST 2022","Thu Nov 10 19:56:04 CST 2022","369","testcase_api","test_008_boss_ticket_count_by_point","TestBossTicketCountByPoint","","","指挥中心顶部数据销售量详情--镇街",""
"passed","Thu Nov 10 19:56:41 CST 2022","Thu Nov 10 19:56:43 CST 2022","1860","testcase_api","test_022_boss_ticket_tax_by_time","TestBossTicketTaxByTime","","","税收监管--顶部看板--镇街",""
"passed","Thu Nov 10 19:57:21 CST 2022","Thu Nov 10 19:57:22 CST 2022","348","testcase_api","test_078_iot_alert_ipc_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:57:08 CST 2022","Thu Nov 10 19:57:10 CST 2022","2309","testcase_api","test_059_bda_list","TestMoatOrgFullTree","","","销售数据管理--审核的旗帜数据--审核的旗帜数据",""
"passed","Thu Nov 10 19:57:02 CST 2022","Thu Nov 10 19:57:03 CST 2022","1304","testcase_api","test_054_boss_weight_data_point_tree","TestMoatOrgFullTree","","","销售数据管理--联单审核树",""
"passed","Thu Nov 10 19:57:25 CST 2022","Thu Nov 10 19:57:26 CST 2022","212","testcase_api","test_080_boss_belt_data_belt_summary_data","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据统计列表筛选",""
"passed","Thu Nov 10 19:53:49 CST 2022","Thu Nov 10 19:53:50 CST 2022","208","testcase_api","test_003_patrol_daily_patrol_list","TestPatrolDailyPatrolList","","","指挥中心左部日常巡检区县",""
"passed","Thu Nov 10 19:56:48 CST 2022","Thu Nov 10 19:56:49 CST 2022","712","testcase_api","test_028_gbserver_tree","TestGbserverTree","","","视频监控--视频监控树--模糊搜索",""
"passed","Thu Nov 10 19:56:39 CST 2022","Thu Nov 10 19:56:41 CST 2022","1992","testcase_api","test_022_boss_ticket_tax_by_time","TestBossTicketTaxByTime","","","税收监管--顶部看板--区县",""
